title,result
What are two things people never eat before breakfast?,Lunch and supper.
Why did the man throw a bucket of water out the window?,He wanted to see the waterfall.
"Why did the man throw the butter out the
Window?",He wanted to see the butterfly.
Why did the man put the clock in the safe?,He wanted to save time.
"What has two hands and a face, but no arms and legs?",A clock.
"What has a neck, but no head?",A bottle.
Where is the ocean the deepest?,On the bottom.
"What letter of the alphabet is always waiting in order?""","""The Q. (queue)"
Why did the man throw his watch out of the window?, He wanted to see time fly.
What State in the United States is High in the middle and round at the ends?,Ohio.
How do you spell mousetrap?,C-A-T.
How many legs does an ant have?,"Two, the same as an uncle."
"How many people are buried in that
Cemetery?",All of them.
What can't be used until it's broken?,An egg.
What do tigers have that no other animals have?,Baby tigers.
"What is Black and white and read (red)
all over?",A newspaper
Why is number six afraid ?,"Because seven eight nine (seven ate
Nine)"
What did number 1 say to 7?,Nice hair
Which is the most self-centered letter of the alphabet?,"""i"" (I)"
Which letter is always trying to find rea-sons?,"""y"" (Why?"")"
Which letter is not me?,U
What letter can do the work in one day that you can do in two days?,W (Double u- Double you)
Why is the A like a flower?,Because the B is after it.
"Why is the letter ""A"" like noon?",Because it's in the middle of the day.
"""What letter of the alphabet has got lots of water?""","""The C"""
"What has two heads, four eyes, six legs and a tail?",A horse and its rider.
What is as big as a horse but doesn't weigh anything?,The horse's shadow.
"What begins with T, ends with T and has T in it?",A teapot.
What did zero say to eight?,Nice belt.
Do you know why birds fly to south in the Winter?,Because it's too far to walk there.
"Which letters do Tuesday, Thursday, Friday and Saturday have in common?"," None! None of them have ""c"", ""o"",""m"" or or
""n"" in them"
"Which room has no doors, no windows.","
A mushroom.

"
What gets wetter as it dries?,"A towel
"
A man rode into town on Tuesday. Two days later he rode home on Tuesday. How is this possible?,His horse's name is Tuesday.
Why didn't the skeleton go to the dance?,"He didn't have anybody to take. (any
BODY)"
"A father and his son were in a car acci-
dent. The father died. The son was taken
to the hospital. The doctor came in and
said: I can't do surgery on him, because
he's my son. Who was the doctor?",The doctor was his mother.
"Why did the student take a ladder to
School?","Because he/she was going to high
School!"
"What are the two strongest days of the
Week?","They are Saturday and Sunday. All the
others are weak (week) days."
"What do you call a bear without an ""ear""?",BBBBBBB
"Which is faster, heat or cold?","Heat, because you can catch a cold."
"How many apples can you eat if your
stomach is empty? B: 4 or 5","No, that's wrong, because after eating
one apple your stomach isn't empty."
